TRAIT	TODO	Date_last_edited	Primary(1),Secondary(2) Variable	GRS available? 	User checked trait	Comment	Definition explanation for manuscript	Type (Trait/Medicine/Operation/Family History)	Category	CompositeVariable	DESCRIPTION	Exclude_from_cases	Study_population	Exclude_from_controls	Include_definitions	ICD10	ICD9	OPCS4	OPCS3	READ2	READ2_drugs	CTV3	BNF	DMD	TS(Touchscreen)	f.20001(sr_cancer)	f.20002(sr_noncancer)	f.20003(sr_med)	f.20004(sr_oper)	Minimum_Episode_duration	include_secondary
Src		06-05-2021	1		MWY	Includes online-follow up variables that are not available for all participants.		Trait	immunological/systemic disorders		Sarcoidosis					D86(Sarcoidosis,any)	135(Sarcoidosis)								22133=1[22153](Doctor diagnosed sarcoidosis),22173=1(Recent medication for sarcoidosis)		1371 (sarcoidosis)			0	1
Cfs		04-07-2017	1					Trait	immunological/systemic disorders		Chronic fatigue syndrome					R53(Malaise and fatigue),F48(Neurasthenia), G933(postiviral fatigue syndrome)	7807(Malaise and fatigue),3005(Neurasthenia)										1482 (Chronic fatigue syndrome)			0	1
Cataract		06-05-2021	1		MWY	MWY:rewrite to machine readable form;6148 is the parent field	(missing: n_5324_=2, n_5324_=3,   n_5324_=4 ever had cataract surgery)	Trait	eye		Cataract					H25(Senile cataract),H26(Other cataract),H28(Cataract and other disorders of lens in diseases classified elsewhere),Q120(congenital cataract)	366(Cataract)	C71(Extracapsular extraction of lens),C72(Intracapsular extraction of lens),C73(Incision of capsule of lens),C74(Other extraction of lens),C75(Prosthesis of lens),C77(Other operations on lens)							5441≥1,5324=2, 5324=3,5324=4,6148=4[4700]		1278 (cataract)		1435 (cataract extraction/lens implant)	0	1
TbcRx		06-05-2021	1		MWY			Trait	respiratory/ent		Tuberculosis					A15(Respiratory tuberculosis, bacteriologically and histologically confirmed),A16(Respiratory tuberculosis, not confirmed bacteriologically or histologically),A17(Tuberculosis of nervous system),A18(Tuberculosis of other organs),A19(Miliary tuberculosis),B90(Sequelae of tuberculosis),K673(Tuberculous peritonitis)	011,012,013,014,015,016,017,018,137,108				x004F,ed,x00Ac,x00Ad	x004F,ed,x00Ac,x00Ad			22137=1[22157],22177=1		1440 (tuberculosis)	1140882372,1140857158,1140857216,1140857220,1140857222,1140864480,1140864484,1140873902,1140873904,1140873908,1140873914,1140873916,1140873918,1140873920,1140873986,1140873994,1140873998,1140874000,1140874056,1140874064,1140874066,1140874068,1140874070,1140874072,1140874074,1140874076,1140874078,1140874080,1140874082,1140874084,1140874086,1140874088,1140874096,1140874098,1140910506,1140910508,1141157360,1140882548,1140882550		0	1
Gout		04-07-2017	1					Trait	musculoskeletal		Gout					M10 (Gout)	274 (Gout)				j62,j61,j63,j64	j62,j61,j63,j64					1466 (gout)	1140875486,1140853122,1140853124,1140853126,1140853128,1140853130,1140875408,1140875466,1140875468,1140875470,1140875472,1140875474,1140875476,1140875478,1140875480,1140875482,1140875484,1140875490,1140875492,1140875496,1140875498,1140875500,1140909890		0	1
GoutRx		04-07-2017			MAS			Trait	musculoskeletal		Gout (incl. medication)				RxGout, Gout															0	1
Oa		04-07-2017	1					Trait	musculoskeletal		Osteoarthritis					M15(Polyarthrosis),M16(Coxarthrosis [arthrosis of hip]),M17(Gonarthrosis [arthrosis of knee]),M18(Arthrosis of first carpometacarpal joint),M19(Other arthrosis)	715(Osteoarthrosis and allied disorders)	U505(delivery of rehabilitation for osteoarthritis)									1465 (osteoarthritis)			0	1
OpoRx		04-07-2017	1					Trait	musculoskeletal		Osteoporosis (incl medication)					M80(Osteoporosis with pathological fracture),M81(Osteoporosis without pathological fracture)	7330(Osteoporosis)				fo4	fo4					1309 (osteoporosis)	1140922174,1141176570		0	1
Disc		04-07-2017	1					Trait	musculoskeletal		Disc disorder 					M495 (Collapsed vertebra in diseases classified elsewhere), M50(Cervical disk disorders), M51(Other intervertebral disk disorders)	722 (intervertebral disc disorders)	V29,V30,V31,V32,V33,V34,V35,V36									1532 (disc problem), 1312 (prolapsed disc/slipped disc), 1533 (disc degeneration)		1531 (discectomy)	0	1
Scia		04-07-2017	1					Trait	musculoskeletal		Sciatica					M543 (Sciatica), M544 (Lumbago with sciatica)	7243 (Sciatica)										1476 (sciatica)			0	1
Ra		04-07-2017	1					Trait	immunological/systemic disorders		Rheumatoid Arthritis					M053(Rheumatoid arthritis with involvement of other organs and systems),M058(Other seropositive rheumatoid arthritis), M059(Seropositive rheumatoid arthritis, unspecified), M06(Other rheumatoid arthritis), M068(Other specified rheumatoid arthritis), M069(Rheumatoid arthritis, unspecified)	7140(Rheumatoid arthritis)										1464 (rheumatoid arthritis)			0	1
